Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
SigMaHaKNN_d3_k3,Signatures,1.0,0.1,0.0,ArtefactoMuscular,1.0,20,260,eeg
SigMaHaKNN_d3_k3,Signatures,1.0,0.1,0.0,SupresionBrote,1.0,20,260,eeg
SigMaHaKNN_d3_k3,Signatures,1.0,0.1,0.0,CanalDesconectado,1.0,20,260,eeg
SigMaHaKNN_d3_k3,Signatures,1.0,0.1,0.0,ParpadeoOcular,1.0,20,260,eeg
SigMaHaKNN_d3_k3,Signatures,1.0,0.1,0.0,InterferenciaRed,1.0,20,260,eeg
SigMaHaKNN_d3_k10,Signatures,1.0,0.1,0.0,CrisisEpileptica,1.0,20,260,eeg
SigMaHaKNN_d3_k10,Signatures,1.0,0.1,0.0,PopElectrodo,1.0,20,260,eeg
SigMaHaKNN_d3_k10,Signatures,1.0,0.1,0.0,ArtefactoMuscular,1.0,20,260,eeg
SigMaHaKNN_d3_k10,Signatures,1.0,0.1,0.0,SupresionBrote,1.0,20,260,eeg
SigMaHaKNN_d3_k10,Signatures,1.0,0.1,0.0,CanalDesconectado,1.0,20,260,eeg
SigMaHaKNN_d3_k10,Signatures,1.0,0.1,0.0,ParpadeoOcular,1.0,20,260,eeg
SigMaHaKNN_d3_k10,Signatures,1.0,0.1,0.0,InterferenciaRed,1.0,20,260,eeg
SigMaHaKNN_d3_k20,Signatures,1.0,0.1,0.0,CrisisEpileptica,1.0,20,260,eeg
SigMaHaKNN_d3_k20,Signatures,1.0,0.1,0.0,PopElectrodo,1.0,20,260,eeg
SigMaHaKNN_d3_k20,Signatures,1.0,0.1,0.0,ArtefactoMuscular,1.0,20,260,eeg
SigMaHaKNN_d3_k20,Signatures,1.0,0.1,0.0,SupresionBrote,1.0,20,260,eeg
SigMaHaKNN_d3_k20,Signatures,1.0,0.1,0.0,CanalDesconectado,1.0,20,260,eeg
SigMaHaKNN_d3_k20,Signatures,1.0,0.1,0.0,ParpadeoOcular,1.0,20,260,eeg
SigMaHaKNN_d3_k20,Signatures,1.0,0.1,0.0,InterferenciaRed,1.0,20,260,eeg
SigConformancia_d2,Signatures,0.2786,0.1,0.122,CrisisEpileptica,0.2,20,260,eeg
SigConformancia_d2,Signatures,0.2786,0.1,0.122,PopElectrodo,0.15,20,260,eeg
SigConformancia_d2,Signatures,0.2786,0.1,0.122,ArtefactoMuscular,0.05,20,260,eeg
SigConformancia_d2,Signatures,0.2786,0.1,0.122,SupresionBrote,0.15,20,260,eeg
SigConformancia_d2,Signatures,0.2786,0.1,0.122,CanalDesconectado,0.3,20,260,eeg
SigConformancia_d2,Signatures,0.2786,0.1,0.122,ParpadeoOcular,0.1,20,260,eeg
SigConformancia_d2,Signatures,0.2786,0.1,0.122,InterferenciaRed,1.0,20,260,eeg
LogSigMaHa_d2,Signatures,1.0,0.1,0.0,CrisisEpileptica,1.0,20,260,eeg
LogSigMaHa_d2,Signatures,1.0,0.1,0.0,PopElectrodo,1.0,20,260,eeg
LogSigMaHa_d2,Signatures,1.0,0.1,0.0,ArtefactoMuscular,1.0,20,260,eeg
LogSigMaHa_d2,Signatures,1.0,0.1,0.0,SupresionBrote,1.0,20,260,eeg
LogSigMaHa_d2,Signatures,1.0,0.1,0.0,CanalDesconectado,1.0,20,260,eeg
LogSigMaHa_d2,Signatures,1.0,0.1,0.0,ParpadeoOcular,1.0,20,260,eeg
LogSigMaHa_d2,Signatures,1.0,0.1,0.0,InterferenciaRed,1.0,20,260,eeg
